Msg 9829, Level 16, State 1, Server AOVIA1VMS006, Line 40
STRING_AGG aggregation result exceeded the limit of 8000 bytes. Use LOB types to avoid result truncation.
COLUMN_NAME;TableCount;Tables;DataType
-----------;----------;------;--------
Add_Date;85;T_Abrufe, T_ArtikelvariantenTyp_LadeEinheiten, T_AuftragsAbrufe, T_AuftragsAbrufeHistorie, T_AxIncasTransferQueueEntry, T_AxTransferQueueEntry, T_BestellMengenGrenzen, T_Bestellpositionen, T_BestellPositionenBewertungen, T_Bestellung, T_Bestellungen, T_BestellungenJournal, T_Bestellvorschlaege, T_BlockingOrders, T_BlockingOrders_Positions, T_BlockingOrdersAdditionalDefects, T_EAIJournal, T_EAIJournalAdresse, T_EAIJournalAmo, T_EAIJournalBeleg, T_EAIJournalBestellPosition, T_EAIJournalEx, T_EAIJournalLayout, T_EAIJournalLeistungsPosition, T_EAIJournalLeistungsVorlageZuordnung, T_EAIJournalLieferPosition, T_EAIJournalPosition, T_EAIJournalSynch, T_EAIJournalText, T_EAIJournalTextPosition, T_EAIJournalTextVorlageZuordnung, T_EAIJournalWarenPosition, T_EAIKundenAbrufBestaetigungen, T_EAIKundenAbrufe, T_EDIDifferenzen, T_EDIDokumente, T_EDIDokumentPositionen, T_EDIKonfigurationen, T_EDIPositionDetails, T_EDIRouting, T_EDIUpload, T_EntladeAuftraege, T_EntladePlanungen, T_EntladePositionen, T_ExportPalettenBewegungenLKW, T_HistoryTransportkosten, T_InhouseLieferungen, T_KundenAbrufBestaetigungen, T_KundenAbrufe, T_KundenAbrufeHistorie, T_LadeAuftraege, T_LadeEinheiten, T_LadePlanungen, T_LadePositionen, T_LagerabgleichBarcodes, T_LagerabgleichBarcodesExtern, T_LagerabgleichBarcodesIntern, T_LieferantenbewertungAbgrenzung, T_LieferantenBewertungen, T_LieferantenBewertungenHistorie, T_LieferantenReklamationen, T_LieferantenReklamationsPositionen, T_LieferBuchungen, T_Lieferkonditionen, T_LieferKonten, T_LieferKontenArchiv, T_LieferPositionen, T_Lieferscheine, T_LieferscheinLayouts, T_LieferscheinPositionen, T_Lieferungen, T_LKWTypen, T_RahmenBestellung, T_RahmenBestellungPosition, T_ReworkOrders, T_SperrJournal, T_TransferQueue, T_TransportTypen, T_VpkVorschrift_LadeEinheiten, T_Wareneingaenge, T_WareneingangAuftraege, T_WareneingangBewertungen, T_WareneingangPlanungen, T_WareneingangPositionen, T_ZentraleLieferanten;datetime
Add_User;85;T_Abrufe, T_ArtikelvariantenTyp_LadeEinheiten, T_AuftragsAbrufe, T_AuftragsAbrufeHistorie, T_AxIncasTransferQueueEntry, T_AxTransferQueueEntry, T_BestellMengenGrenzen, T_Bestellpositionen, T_BestellPositionenBewertungen, T_Bestellung, T_Bestellungen, T_BestellungenJournal, T_Bestellvorschlaege, T_BlockingOrders, T_BlockingOrders_Positions, T_BlockingOrdersAdditionalDefects, T_EAIJournal, T_EAIJournalAdresse, T_EAIJournalAmo, T_EAIJournalBeleg, T_EAIJournalBestellPosition, T_EAIJournalEx, T_EAIJournalLayout, T_EAIJournalLeistungsPosition, T_EAIJournalLeistungsVorlageZuordnung, T_EAIJournalLieferPosition, T_EAIJournalPosition, T_EAIJournalSynch, T_EAIJournalText, T_EAIJournalTextPosition, T_EAIJournalTextVorlageZuordnung, T_EAIJournalWarenPosition, T_EAIKundenAbrufBestaetigungen, T_EAIKundenAbrufe, T_EDIDifferenzen, T_EDIDokumente, T_EDIDokumentPositionen, T_EDIKonfigurationen, T_EDIPositionDetails, T_EDIRouting, T_EDIUpload, T_EntladeAuftraege, T_EntladePlanungen, T_EntladePositionen, T_ExportPalettenBewegungenLKW, T_HistoryTransportkosten, T_InhouseLieferungen, T_KundenAbrufBestaetigungen, T_KundenAbrufe, T_KundenAbrufeHistorie, T_LadeAuftraege, T_LadeEinheiten, T_LadePlanungen, T_LadePositionen, T_LagerabgleichBarcodes, T_LagerabgleichBarcodesExtern, T_LagerabgleichBarcodesIntern, T_LieferantenbewertungAbgrenzung, T_LieferantenBewertungen, T_LieferantenBewertungenHistorie, T_LieferantenReklamationen, T_LieferantenReklamationsPositionen, T_LieferBuchungen, T_Lieferkonditionen, T_LieferKonten, T_LieferKontenArchiv, T_LieferPositionen, T_Lieferscheine, T_LieferscheinLayouts, T_LieferscheinPositionen, T_Lieferungen, T_LKWTypen, T_RahmenBestellung, T_RahmenBestellungPosition, T_ReworkOrders, T_SperrJournal, T_TransferQueue, T_TransportTypen, T_VpkVorschrift_LadeEinheiten, T_Wareneingaenge, T_WareneingangAuftraege, T_WareneingangBewertungen, T_WareneingangPlanungen, T_WareneingangPositionen, T_ZentraleLieferanten;nvarchar
Upd_Date;85;T_Abrufe, T_ArtikelvariantenTyp_LadeEinheiten, T_AuftragsAbrufe, T_AuftragsAbrufeHistorie, T_AxIncasTransferQueueEntry, T_AxTransferQueueEntry, T_BestellMengenGrenzen, T_Bestellpositionen, T_BestellPositionenBewertungen, T_Bestellung, T_Bestellungen, T_BestellungenJournal, T_Bestellvorschlaege, T_BlockingOrders, T_BlockingOrders_Positions, T_BlockingOrdersAdditionalDefects, T_EAIJournal, T_EAIJournalAdresse, T_EAIJournalAmo, T_EAIJournalBeleg, T_EAIJournalBestellPosition, T_EAIJournalEx, T_EAIJournalLayout, T_EAIJournalLeistungsPosition, T_EAIJournalLeistungsVorlageZuordnung, T_EAIJournalLieferPosition, T_EAIJournalPosition, T_EAIJournalSynch, T_EAIJournalText, T_EAIJournalTextPosition, T_EAIJournalTextVorlageZuordnung, T_EAIJournalWarenPosition, T_EAIKundenAbrufBestaetigungen, T_EAIKundenAbrufe, T_EDIDifferenzen, T_EDIDokumente, T_EDIDokumentPositionen, T_EDIKonfigurationen, T_EDIPositionDetails, T_EDIRouting, T_EDIUpload, T_EntladeAuftraege, T_EntladePlanungen, T_EntladePositionen, T_ExportPalettenBewegungenLKW, T_HistoryTransportkosten, T_InhouseLieferungen, T_KundenAbrufBestaetigungen, T_KundenAbrufe, T_KundenAbrufeHistorie, T_LadeAuftraege, T_LadeEinheiten, T_LadePlanungen, T_LadePositionen, T_LagerabgleichBarcodes, T_LagerabgleichBarcodesExtern, T_LagerabgleichBarcodesIntern, T_LieferantenbewertungAbgrenzung, T_LieferantenBewertungen, T_LieferantenBewertungenHistorie, T_LieferantenReklamationen, T_LieferantenReklamationsPositionen, T_LieferBuchungen, T_Lieferkonditionen, T_LieferKonten, T_LieferKontenArchiv, T_LieferPositionen, T_Lieferscheine, T_LieferscheinLayouts, T_LieferscheinPositionen, T_Lieferungen, T_LKWTypen, T_RahmenBestellung, T_RahmenBestellungPosition, T_ReworkOrders, T_SperrJournal, T_TransferQueue, T_TransportTypen, T_VpkVorschrift_LadeEinheiten, T_Wareneingaenge, T_WareneingangAuftraege, T_WareneingangBewertungen, T_WareneingangPlanungen, T_WareneingangPositionen, T_ZentraleLieferanten;datetime
Upd_User;85;T_Abrufe, T_ArtikelvariantenTyp_LadeEinheiten, T_AuftragsAbrufe, T_AuftragsAbrufeHistorie, T_AxIncasTransferQueueEntry, T_AxTransferQueueEntry, T_BestellMengenGrenzen, T_Bestellpositionen, T_BestellPositionenBewertungen, T_Bestellung, T_Bestellungen, T_BestellungenJournal, T_Bestellvorschlaege, T_BlockingOrders, T_BlockingOrders_Positions, T_BlockingOrdersAdditionalDefects, T_EAIJournal, T_EAIJournalAdresse, T_EAIJournalAmo, T_EAIJournalBeleg, T_EAIJournalBestellPosition, T_EAIJournalEx, T_EAIJournalLayout, T_EAIJournalLeistungsPosition, T_EAIJournalLeistungsVorlageZuordnung, T_EAIJournalLieferPosition, T_EAIJournalPosition, T_EAIJournalSynch, T_EAIJournalText, T_EAIJournalTextPosition, T_EAIJournalTextVorlageZuordnung, T_EAIJournalWarenPosition, T_EAIKundenAbrufBestaetigungen, T_EAIKundenAbrufe, T_EDIDifferenzen, T_EDIDokumente, T_EDIDokumentPositionen, T_EDIKonfigurationen, T_EDIPositionDetails, T_EDIRouting, T_EDIUpload, T_EntladeAuftraege, T_EntladePlanungen, T_EntladePositionen, T_ExportPalettenBewegungenLKW, T_HistoryTransportkosten, T_InhouseLieferungen, T_KundenAbrufBestaetigungen, T_KundenAbrufe, T_KundenAbrufeHistorie, T_LadeAuftraege, T_LadeEinheiten, T_LadePlanungen, T_LadePositionen, T_LagerabgleichBarcodes, T_LagerabgleichBarcodesExtern, T_LagerabgleichBarcodesIntern, T_LieferantenbewertungAbgrenzung, T_LieferantenBewertungen, T_LieferantenBewertungenHistorie, T_LieferantenReklamationen, T_LieferantenReklamationsPositionen, T_LieferBuchungen, T_Lieferkonditionen, T_LieferKonten, T_LieferKontenArchiv, T_LieferPositionen, T_Lieferscheine, T_LieferscheinLayouts, T_LieferscheinPositionen, T_Lieferungen, T_LKWTypen, T_RahmenBestellung, T_RahmenBestellungPosition, T_ReworkOrders, T_SperrJournal, T_TransferQueue, T_TransportTypen, T_VpkVorschrift_LadeEinheiten, T_Wareneingaenge, T_WareneingangAuftraege, T_WareneingangBewertungen, T_WareneingangPlanungen, T_WareneingangPositionen, T_ZentraleLieferanten;nvarchar
Bemerkung;27;T_Abrufe, T_Bestellungen, T_EAIJournal, T_EAIJournalAdresse, T_EAIJournalBeleg, T_EAIJournalBestellPosition, T_EAIJournalEx, T_EAIJournalLayout, T_EAIJournalLeistungsPosition, T_EAIJournalPosition, T_EAIJournalSynch, T_EAIJournalText, T_EAIJournalTextPosition, T_EAIJournalWarenPosition, T_EntladeAuftraege, T_EntladePlanungen, T_LadeAuftraege, T_LadePlanungen, T_LieferBuchungen, T_Lieferkonditionen, T_Lieferscheine, T_LieferscheinLayouts, T_RahmenBestellung, T_SperrJournal, T_Wareneingaenge, T_WareneingangAuftraege, T_WareneingangPlanungen;nvarchar
IdVpkVorschrift;19;T_AuftragsAbrufe, T_AuftragsAbrufeHistorie, T_Bestellpositionen, T_Bestellung, T_Bestellvorschlaege, T_EAIJournalBestellPosition, T_EAIJournalWarenPosition, T_EDIDokumentPositionen, T_InhouseLieferungen, T_KundenAbrufBestaetigungen, T_KundenAbrufe, T_KundenAbrufeHistorie, T_LagerabgleichBarcodes, T_LieferantenReklamationsPositionen, T_Lieferungen, T_RahmenBestellungPosition, T_SperrJournal, T_VpkVorschrift_LadeEinheiten, T_Wareneingaenge;int
GUID;18;T_ArtikelvariantenTyp_LadeEinheiten, T_AuftragsAbrufe, T_AuftragsAbrufeHistorie, T_EAIJournal, T_EAIJournalAdresse, T_EAIJournalBeleg, T_EAIJournalBestellPosition, T_EAIJournalLeistungsPosition, T_EAIJournalLieferPosition, T_EAIJournalPosition, T_EAIJournalText, T_EAIJournalWarenPosition, T_LagerabgleichBarcodes, T_LagerabgleichBarcodesExtern, T_LagerabgleichBarcodesIntern, T_LieferantenReklamationen, T_LieferantenReklamationsPositionen, T_SperrJournal;uniqueidentifier
Status;18;T_Abrufe, T_Bestellungen, T_EAIJournalSynch, T_EAIKundenAbrufBestaetigungen, T_EAIKundenAbrufe, T_EDIDokumente, T_EDIUpload, T_EntladeAuftraege, T_EntladePlanungen, T_KundenAbrufBestaetigungen, T_KundenAbrufe, T_LadeAuftraege, T_LadePlanungen, T_LieferantenReklamationen, T_Lieferscheine, T_Wareneingaenge, T_WareneingangAuftraege, T_WareneingangPlanungen;int
IdArtikelvarianten;17;T_BestellMengenGrenzen, T_Bestellpositionen, T_Bestellung, T_Bestellvorschlaege, T_EAIJournalAmo, T_EAIJournalBestellPosition, T_EAIJournalLayout, T_EAIJournalLeistungsVorlageZuordnung, T_EAIJournalTextVorlageZuordnung, T_EAIJournalWarenPosition, T_EDIDokumentPositionen, T_LieferantenbewertungAbgrenzung, T_LieferantenReklamationsPositionen, T_Lieferungen, T_RahmenBestellungPosition, T_SperrJournal, T_Wareneingaenge;int
IdJournal;16;T_AxIncasTransferQueueEntry, T_Bestellpositionen, T_Bestellung, T_Bestellungen, T_BestellungenJournal, T_Bestellvorschlaege, T_EAIJournal, T_EAIJournalBestellPosition, T_EAIJournalEx, T_EAIJournalPosition, T_EAIJournalSynch, T_EAIJournalText, T_InhouseLieferungen, T_Lieferungen, T_Wareneingaenge, T_WareneingangPlanungen;int
IdLieferAdresse;16;T_Abrufe, T_AuftragsAbrufe, T_AuftragsAbrufeHistorie, T_BestellMengenGrenzen, T_Bestellungen, T_EAIJournalEx, T_EDIDokumente, T_HistoryTransportkosten, T_LieferBuchungen, T_LieferKonten, T_LieferPositionen, T_Lieferscheine, T_Lieferungen, T_RahmenBestellung, T_RahmenBestellungPosition, T_Wareneingaenge;int
Menge;14;T_Abrufe, T_EAIKundenAbrufBestaetigungen, T_EAIKundenAbrufe, T_EDIDokumentPositionen, T_KundenAbrufBestaetigungen, T_KundenAbrufe, T_KundenAbrufeHistorie, T_LadePlanungen, T_LadePositionen, T_LieferantenReklamationsPositionen, T_LieferBuchungen, T_LieferscheinPositionen, T_WareneingangPlanungen, T_WareneingangPositionen;float
