TableName;ApproxRowCount;ColumnCount
---------;--------------;-----------
T_BestellMengenGrenzen;0;11
T_Bestellpositionen;2623;29
T_BestellPositionenBewertungen;0;11
T_Bestellung;0;23
T_Bestellungen;2436;21
T_BestellungenJournal;2411;8
T_Bestellvorschlaege;0;26
T_BlockingOrders;116;20
T_BlockingOrders_Positions;1602;15
T_BlockingOrdersAdditionalDefects;4;8
T_EAIJournalBestellPosition;4392;56
T_RahmenBestellung;0;17
T_RahmenBestellungPosition;0;20
T_ReworkOrders;47;8

(14 rows affected)
TABLE_NAME;COLUMN_NAME;ORDINAL_POSITION;DATA_TYPE;CHARACTER_MAXIMUM_LENGTH;NUMERIC_PRECISION;NUMERIC_SCALE;IS_NULLABLE;COLUMN_DEFAULT
----------;-----------;----------------;---------;------------------------;-----------------;-------------;-----------;--------------
T_BestellMengenGrenzen;IdBestellMengenGrenzen;1;int;NULL;10;0;NO;NULL
T_BestellMengenGrenzen;IdLieferAdresse;2;int;NULL;10;0;YES;NULL
T_BestellMengenGrenzen;IdArtikelvarianten;3;int;NULL;10;0;YES;NULL
T_BestellMengenGrenzen;MinimumBestellMenge;4;float;NULL;53;NULL;YES;NULL
T_BestellMengenGrenzen;MaximumBestellMenge;5;float;NULL;53;NULL;YES;NULL
T_BestellMengenGrenzen;MinimumBestellMengeVPK;6;float;NULL;53;NULL;YES;NULL
T_BestellMengenGrenzen;MaximumBestellMengeVPK;7;float;NULL;53;NULL;YES;NULL
T_BestellMengenGrenzen;Add_User;8;nvarchar;50;NULL;NULL;YES;NULL
T_BestellMengenGrenzen;Add_Date;9;datetime;NULL;NULL;NULL;YES;NULL
T_BestellMengenGrenzen;Upd_User;10;nvarchar;50;NULL;NULL;YES;NULL
T_BestellMengenGrenzen;Upd_Date;11;datetime;NULL;NULL;NULL;YES;NULL
T_Bestellpositionen;IdBestellPosition;1;int;NULL;10;0;NO;NULL
T_Bestellpositionen;IdBestellung;2;int;NULL;10;0;YES;NULL
T_Bestellpositionen;IdLieferant;3;int;NULL;10;0;NO;NULL
T_Bestellpositionen;IdArtikelVarianten;4;int;NULL;10;0;NO;NULL
T_Bestellpositionen;BestellDatum;5;datetime;NULL;NULL;NULL;NO;NULL
T_Bestellpositionen;Lieferdatum;6;datetime;NULL;NULL;NULL;NO;NULL
T_Bestellpositionen;BestellMenge;7;float;NULL;53;NULL;NO;NULL
T_Bestellpositionen;BestellMengeVPK;8;float;NULL;53;NULL;NO;NULL
T_Bestellpositionen;Add_User;9;nvarchar;50;NULL;NULL;NO;NULL
T_Bestellpositionen;Add_Date;10;datetime;NULL;NULL;NULL;NO;NULL
T_Bestellpositionen;Upd_User;11;nvarchar;50;NULL;NULL;YES;NULL
T_Bestellpositionen;Upd_Date;12;datetime;NULL;NULL;NULL;YES;NULL
T_Bestellpositionen;IdMengeneinheit;13;int;NULL;10;0;YES;NULL
T_Bestellpositionen;IdPreisLogik;14;int;NULL;10;0;YES;NULL
T_Bestellpositionen;IdPreisEinheit;15;int;NULL;10;0;YES;NULL
T_Bestellpositionen;PreisProEinheit;16;float;NULL;53;NULL;YES;NULL
T_Bestellpositionen;IdVpkVorschrift;17;int;NULL;10;0;YES;NULL
T_Bestellpositionen;IdRahmenbestellungPosition;18;int;NULL;10;0;NO;NULL
T_Bestellpositionen;IdJournalBestellPosition;19;int;NULL;10;0;NO;NULL
T_Bestellpositionen;PositionsStatus;20;int;NULL;10;0;NO;NULL
T_Bestellpositionen;IdJournalPosition;21;int;NULL;10;0;YES;NULL
T_Bestellpositionen;IdJournal;22;int;NULL;10;0;YES;NULL
T_Bestellpositionen;JournalNummer;23;nvarchar;50;NULL;NULL;YES;NULL
T_Bestellpositionen;IdJournalWarenPosition;24;int;NULL;10;0;YES;NULL
T_Bestellpositionen;IdHauptmaterial;25;int;NULL;10;0;YES;NULL
T_Bestellpositionen;Preistyp;26;int;NULL;10;0;YES;NULL
T_Bestellpositionen;IdHistoryEKKunde;27;int;NULL;10;0;YES;NULL
T_Bestellpositionen;MinimumProzentLieferMenge;28;float;NULL;53;NULL;YES;NULL
T_Bestellpositionen;AXLoskennung;29;nvarchar;50;NULL;NULL;NO;NULL
T_BestellPositionenBewertungen;IdBestellPositionenBewertung;1;int;NULL;10;0;NO;NULL
T_BestellPositionenBewertungen;IdBestellPosition;2;int;NULL;10;0;NO;NULL
T_BestellPositionenBewertungen;MaterialQualitaet;3;int;NULL;10;0;YES;NULL
T_BestellPositionenBewertungen;VerpackungsQualitaet;4;int;NULL;10;0;NO;NULL
T_BestellPositionenBewertungen;MengenQualitaet;5;int;NULL;10;0;NO;NULL
T_BestellPositionenBewertungen;LieferDatumQualitaet;6;int;NULL;10;0;NO;NULL
T_BestellPositionenBewertungen;Add_User;7;nvarchar;50;NULL;NULL;NO;NULL
T_BestellPositionenBewertungen;Add_Date;8;datetime;NULL;NULL;NULL;NO;NULL
T_BestellPositionenBewertungen;Upd_User;9;nvarchar;50;NULL;NULL;YES;NULL
T_BestellPositionenBewertungen;Upd_Date;10;datetime;NULL;NULL;NULL;YES;NULL
T_BestellPositionenBewertungen;BestellPositionBewertung;11;float;NULL;53;NULL;NO;NULL
T_Bestellung;IdBestellung;1;int;NULL;10;0;NO;NULL
T_Bestellung;IdLieferant;2;int;NULL;10;0;NO;NULL
T_Bestellung;IdArtikelVarianten;3;int;NULL;10;0;NO;NULL
T_Bestellung;BestellDatum;4;datetime;NULL;NULL;NULL;NO;NULL
T_Bestellung;Lieferdatum;5;datetime;NULL;NULL;NULL;NO;NULL
T_Bestellung;BestellMenge;6;float;NULL;53;NULL;NO;NULL
T_Bestellung;Bezeichnung;7;nvarchar;100;NULL;NULL;NO;NULL
T_Bestellung;Add_User;8;nvarchar;50;NULL;NULL;NO;NULL
T_Bestellung;Add_Date;9;datetime;NULL;NULL;NULL;NO;NULL
T_Bestellung;Upd_User;10;nvarchar;50;NULL;NULL;YES;NULL
T_Bestellung;Upd_Date;11;datetime;NULL;NULL;NULL;YES;NULL
T_Bestellung;IdMengeneinheit;12;int;NULL;10;0;YES;NULL
T_Bestellung;IdPreisLogik;13;int;NULL;10;0;YES;NULL
T_Bestellung;IdPreisEinheit;14;int;NULL;10;0;YES;NULL
T_Bestellung;PreisProEinheit;15;float;NULL;53;NULL;YES;NULL
T_Bestellung;IdVpkVorschrift;16;int;NULL;10;0;YES;NULL
T_Bestellung;VpkVorschriftBez;17;nvarchar;100;NULL;NULL;NO;NULL
T_Bestellung;MengeProVpk;18;float;NULL;53;NULL;YES;NULL
T_Bestellung;Bestellt;19;int;NULL;10;0;YES;NULL
T_Bestellung;IdArtikeltyp;20;int;NULL;10;0;YES;NULL
T_Bestellung;IdArtikelvariantenTyp;21;int;NULL;10;0;YES;NULL
T_Bestellung;IdRahmenBestellungPosition;22;int;NULL;10;0;YES;NULL
T_Bestellung;IdJournal;23;int;NULL;10;0;YES;NULL
T_Bestellungen;IdBestellung;1;int;NULL;10;0;NO;NULL
T_Bestellungen;IdLieferant;2;int;NULL;10;0;NO;NULL
T_Bestellungen;Status;3;int;NULL;10;0;YES;NULL
T_Bestellungen;UebermittlungsStatus;4;int;NULL;10;0;YES;NULL
T_Bestellungen;IdJournal;5;int;NULL;10;0;NO;NULL
